Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
0.0284516129032258,1.0,6023.6,0.0,0,0.0,1.0,0,0,0.1415,2/28/2019
1.0195014,1.0,-975.07,978.37,0,0.0,1.0,0,0,0.9963,2/28/2019
0.0,,14000.0,0.0,0,0.0,0.0,1,0,0.036,2/28/2019
0.063651852,1.0,2528.14,0.0,0,0.0,0.0,1,0,0.0685,2/28/2019
0.0403315,1.0,19193.37,6.77,0,1.0,0.0,0,0,0.0678,2/28/2019
0.016599,1.0,9834.01,1.86,0,0.0,0.0,1,0,0.0723,2/28/2019
0.0,,5200.0,0.0,1,0.0,0.0,0,0,0.086,2/28/2019
-0.003649533,0.0,10739.05,35.95,0,0.0,1.0,0,0,0.0197,2/28/2019
0.061814074,1.0,25331.02,0.0,0,0.0,0.0,1,0,0.0094,2/28/2019
0.25021,1.0,1499.58,10.61,0,0.0,1.0,0,0,0.6609,2/28/2019
-0.0704745,0.0,21409.49,0.0,0,1.0,0.0,0,0,0.0047,2/28/2019
0.0,,7000.0,0.0,0,0.0,0.0,0,1,0.1525,2/28/2019
0.7096850393700788,0.0,3687.0,7.32,0,1.0,0.0,0,0,0.1824,2/28/2019
0.9205,1.0,636.0,156.66,0,1.0,0.0,0,0,0.7654,2/28/2019
0.000827626,1.0,25678.73,0.0,1,0.0,0.0,0,0,0.0175,2/28/2019
0.271648,1.0,3641.76,2.14,1,0.0,0.0,0,0,0.1789,2/28/2019
0.1442408333333333,1.0,10269.11,0.0,1,0.0,0.0,0,0,0.125,2/28/2019
0.040275652,1.0,11036.83,28.84,0,1.0,0.0,0,0,0.1048,2/28/2019
0.0008,1.0,1998.4,1.6,1,0.0,0.0,0,0,0.307,2/28/2019
-0.000640667,0.0,30019.22,0.0,0,1.0,0.0,0,0,0.0009,2/28/2019
0.045047938,1.0,18526.07,25.53,0,0.0,0.0,1,0,0.0437,2/28/2019
-1.82e-06,0.0,5500.01,0.0,0,0.0,1.0,0,0,0.0483,2/28/2019
0.058562308,1.0,12238.69,0.0,0,0.0,1.0,0,0,0.0641,2/28/2019
0.8039731707317073,0.8738824557305335,1607.42,105.7,0,0.0,1.0,0,0,0.622,2/28/2019
0.9116802259887006,1.0,1563.2600000000002,0.0,1,0.0,0.0,0,0,0.5999,2/28/2019
0.8745322580645161,0.0,2333.7000000000007,14.23,0,1.0,0.0,0,0,0.4776,2/28/2019
0.9751716666666668,1.0,446.9099999999999,279.01,0,1.0,0.0,0,0,0.908,2/28/2019
0.43627,1.0,1127.46,0.0,0,1.0,0.0,0,0,0.3222,2/28/2019
